Provincia,Partido,Localidad,Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,4G,Latitud,Longitud
BUENOS AIRES,Berisso,Villa Porteña,0,--,--,--,--,--,--,--,--,-34891043310448.0,-578963773978494.0
BUENOS AIRES,Berisso,Villa Progreso,0,--,--,--,SI,--,SI,--,--,-349308766123633.0,-578468799885622.0
BUENOS AIRES,Berisso,Villa San Carlos,0,--,--,--,--,--,--,--,SI,-348838130805.0,-5787701595642.0
BUENOS AIRES,Berisso,Villa Zula,0,--,--,--,--,--,--,--,--,-349221646298322.0,-578009664840662.0
BUENOS AIRES,Bolívar,Hale,211,SI,--,--,--,--,--,SI,--,-360010429767568.0,-608534495072374.0
BUENOS AIRES,Bolívar,Juan F. Ibarra,33,--,--,--,--,--,--,--,--,-363498770527922.0,-612552591224518.0
BUENOS AIRES,Bolívar,Mariano Unzué,0,--,--,--,--,--,--,--,--,-361440485245343.0,-610116010100704.0
BUENOS AIRES,Bolívar,Paula,40,--,--,--,--,SI,--,--,--,-365053183545527.0,-610243287245345.0
BUENOS AIRES,Bolívar,Pirovano,1551,--,--,--,--,--,SI,SI,--,-365109170215402.0,-615545516558692.0
BUENOS AIRES,Bolívar,San Carlos de Bolívar (Est. Bolívar),26242,SI,SI,SI,--,--,SI,SI,SI,-362295602208798.0,-611131898679983.0
BUENOS AIRES,Bolívar,Urdampilleta,2643,--,--,SI,--,--,SI,SI,SI,-364329292363695.0,-614191160192421.0
BUENOS AIRES,Bolívar,Villa Lynch Pueyrredón,62,--,--,--,--,--,--,--,--,-366025793254646.0,-613618625494725.0
BUENOS AIRES,Bragado,Asamblea,7,--,--,--,--,--,--,--,--,-352267581272748.0,-604168952837295.0
CABA,COMUNA 12,VILLA URQUIZA,91563,SI,SI,SI,SI,SI,SI,SI,SI,-345715411303449.0,-584878560596649.0
CORDOBA,Río Cuarto,Alpa Corral,812,--,--,--,--,--,--,--,SI,-326904036665231.0,-64721171054893.0
CORDOBA,Río Cuarto,Berrotarán,6869,SI,SI,--,SI,--,SI,SI,SI,-324528669215341.0,-643854404675021.0
CORDOBA,Río Cuarto,Bulnes,1051,SI,--,--,--,SI,--,--,SI,-335032818212674.0,-646755735163666.0
CORDOBA,Río Cuarto,Chaján,767,--,--,--,SI,SI,--,SI,SI,-335563361347485.0,-650052699166312.0
CORDOBA,Río Cuarto,Chucul,304,SI,--,--,SI,--,SI,SI,SI,-330089546768665.0,-641712493406755.0
CORDOBA,Río Cuarto,Coronel Baigorria,1456,--,--,--,SI,--,--,--,SI,-328495478948519.0,-643598591374051.0
CHACO,San Lorenzo,Villa Berthet,10224,--,--,--,SI,SI,SI,--,SI,-272895492409257.0,-604155962080604.0
